name,units,price,source
Activator,L,25,
"2,4 D Amine 625",L,5.9,SAGIT
"2,4-D",L,5.9,SAGIT
Aggressor, L, 0, CHECK
Agritone LVE 570,kg,8,
Amicide Advance 700, L, 10, https://specialistsales.com.au/shop/woody-weeds/woody-weed-herbicides/liquid-chemicals/surefire-amine-625-herbicide/?attribute_pa_size=20-litre&gad_source=1&gad_campaignid=17602049242&gbraid=0AAAAAD3AJcA1J_KV4fXs6ZiH8z2fiJsWT&gclid=Cj0KCQjwjo7DBhCrARIsACWauSlqQGa5qJ69ozM92A-pPIVQEl8ibvJPQEi7ZGYxbRVY2coKsw40VlEaAhqLEALw_wcB
Amine,L,5.9,SAGIT
AMS,L,3.5,
Archer,L,14.5,
Archer 300,L,14.5,
Archer 750,L,160,
Avadex,L,17,
Avadex Xtra,L,17,
Boxer Gold,L,12.52,SAGIT
BoxerGold,L,12.52,SAGIT
Broadstrike, Kg, 429, CHECK THIS
BS1000,L,5.6,SAGIT
Callisto,L,30,
Carfentrazone,L,85,
Chlorpyriphos,L,13.5,
Clethodim,L,20.5,SAGIT
Clethodim 360,L,20.5,SAGIT
Crucial,L,12,
Crucial (glyphosate),L,12,
Cutlass,L,11,
Dicamba 500,L,20,
Dimethoate, L, 30, pestrol.com.au
Ditto, L, 0, CHECK
Diquat,L,15,
Diuron,kg,15,
Diuron 900DF,L,20,
Dropzone,L,22,
Dual Gold,L,60,
Ecopar, L, 57.50, CHECK THIS
Edge 900DF,kg,25,
Elantra (Quizalofop 200),L,35,
Ester,L,8.45,SAGIT
Factor,kg,135,SAGIT
Garlon,L,165,
Gluphosinate,L,20,
Glyphosate,L,4.5,SAGIT
Glyphosate 450,L,4.5,SAGIT
Glyphosate 540g/l,L,5.4,SAGIT
Grammoxone 360, L, 7.83, CHECK THIS
Grasidim,L,30,
Grazidim,L,30,
Haloxyfop,L,44,SAGIT
Haloxyfop 520,L,44,SAGIT
Hammer,L,20,
Hasten,L,4.7,SAGIT
Intercept,L,275,
Intervix,L,29.46,SAGIT
Kamba 500, L, 25, Google
Leopard,L,21,
Liase,L,4,
Lontrel Advanced 600,L,145,
Lontrel,L,145,
LVA Agritone,kg,8,
LVE Agritone,kg,8,
MCPA LVE,L,8.14,SAGIT
MCPA LVE (~100mL/leaf),L,8.14,SAGIT
Overwatch,L,10,
Oxyflurfen,L,15.76,SAGIT
Palmero 750 WG, KG, 103, https://specialistsales.com.au/shop/farm-chemicals/herbicides/residual-herbicides/bounty-750-wg-herbicide/?srsltid=AfmBOorkCeEuGDxUT7XH1y1q0fwqIPZErrJzyg675YGnL3W91tDnL53q
Paradigm,kg,490,SAGIT
Paraquat,L,4.95,SAGIT
Paraquat 360,L,4.95,SAGIT
Propyzamide,L,21.8,SAGIT
Prosaro,L,,
Pyrinex Super,L,,
Raptor,kg,270,
Reflex,L,15,
Reglone,L,13.8,SAGIT
"Roundup, 2,4-D",L,6,SAGIT
Roundup,L,6,SAGIT
Rustler,L,65,
Rustler 900 WG,L,65,
Sakura,kg,343.2,SAGIT
Sakura Flow,L,343.2,
Sakura 850 WG,kg,343.2,SAGIT
Select Xtra,L,20.5,
Simazine,kg,12,
Simazine 900,kg,7.53,SAGIT
Simazine 900DF,kg,7.53,SAGIT
Terbyne Xtreme,L,15,
Terbyne extreme,L,15,
Terrador,kg,300,
Thistle Killem,L,27,
Tri-allate,L,11.5,SAGIT
Trifluralin,L,8,SAGIT
TriflurX,L,8,
Ultro,kg,25,
Uptake,L,6.2,SAGIT
SOA,kg,0.96,SAGIT
Sulphate of ammonium,kg,0.96,SAGIT
ammonium sulphate,kg,0.96,SAGIT
