,site,plot,year,annual_plot_operational_costs_dollars,annual_plot_material_input_costs_dollars,annual_plot_revenue_dollars,annual_plot_gross_margin_dollars
0,hart,HART_S3_P3412_R3,2023,204.5,222.5193,881.4,454.3807
1,hart,HART_S6_P3412_R2,2023,202.0,246.75835,983.07,534.3116500000001
2,hart,HART_S1.2_P1231_R1,2023,204.5,222.5193,804.0500000000001,377.0307000000001
3,hart,HART_S7_P4123_R1,2023,202.0,235.75835,1335.934,898.1756499999999
4,hart,HART_S4.3_P1234_R3,2023,204.5,222.5193,1160.9,733.8807000000002
5,hart,HART_S4.1_P1234_R1,2023,204.5,222.5193,1041.3,614.2807
6,hart,HART_S1.2_P3123_R2,2023,202.0,235.75835,1005.154,567.3956499999999
7,hart,HART_S4.3_P2341_R1,2023,202.0,259.75835,859.6500000000001,397.8916500000001
8,hart,HART_S8_P4123_R3,2023,202.0,246.75835,1150.05,701.2916499999999
9,hart,HART_S8_P1234_R2,2023,204.5,222.5193,931.45,504.43070000000006
10,hart,HART_S4.2_P3412_R3,2023,213.0,236.5018,190.954,-258.5478
11,hart,HART_S2.3_P0000_R2,2023,202.0,285.75835,1233.21,745.45165
12,hart,HART_S7_P1234_R1,2023,204.5,222.5193,1196.0,768.9807000000001
13,hart,HART_S9_P2341_R3,2023,213.0,236.50179999999997,388.128,-61.37379999999999
14,hart,HART_S3_P3412_R2,2023,204.5,222.5193,1014.65,587.6306999999999
15,hart,HART_S4.1_P3412_R1,2023,213.0,215.00180000000003,652.478,224.47619999999992
16,hart,HART_S8_P2341_R3,2023,202.0,246.75835,1128.27,679.5116499999999
17,hart,HART_S10.3_P3123_R1,2023,202.0,235.75835,1287.062,849.3036499999998
18,hart,HART_S9_P1234_R1,2023,204.5,235.9362,0.0,-440.4362
19,hart,HART_S6_P1234_R3,2023,204.5,222.5193,1212.9,785.8807000000002
20,hart,HART_S10.2_P1231_R1,2023,204.5,227.7693,911.618,479.34870000000006
21,hart,HART_S2.2_P0000_R3,2023,202.0,264.25834999999995,1299.54,833.28165
22,hart,HART_S1.1_P1231_R3,2023,204.5,222.5193,1015.3,588.2807
23,hart,HART_S4.2_P3412_R1,2023,213.0,236.50180000000003,544.25,94.74819999999997
24,hart,HART_S8_P2341_R1,2023,202.0,246.75835,1074.15,625.39165
25,hart,HART_S2.1_P0000_R1,2023,202.0,238.25834999999998,1337.16,896.9016500000001
26,hart,HART_S4.2_P4123_R2,2023,202.0,235.75835,1035.55,597.7916499999999
27,hart,HART_S10.1_P2312_R1,2023,193.5,190.25835,858.0,474.24165
28,hart,HART_S10.1_P3123_R3,2023,193.5,190.25835,1151.472,767.7136499999999
29,hart,HART_S1.3_P1231_R1,2023,204.5,222.5193,998.4,571.3806999999999
30,hart,HART_S5_P0000_R7,2023,204.5,222.5193,1142.7,715.6807000000001
31,hart,HART_S4.2_P1234_R1,2023,204.5,222.5193,1190.8,763.7807
32,hart,HART_S1.1_P2312_R3,2023,202.0,246.75835,935.55,486.79164999999995
33,hart,HART_S10.1_P3123_R2,2023,193.5,190.25835,1044.788,661.02965
34,hart,HART_S9_P3412_R1,2023,202.0,246.75835,1082.4,633.64165
35,hart,HART_S5_P0000_R3,2023,204.5,222.5193,984.75,557.7307000000001
36,hart,HART_S5_P0000_R9,2023,204.5,222.5193,787.15,360.1307
37,hart,HART_S5_P0000_R4,2023,204.5,222.5193,951.6,524.5807
38,hart,HART_S4.1_P4123_R2,2023,202.0,209.25835,956.282,545.0236500000001
39,hart,HART_S7_P3412_R1,2023,202.0,246.75835,1249.71,800.95165
40,hart,HART_S1.3_P3123_R2,2023,202.0,258.75835,939.594,478.83565000000004
41,hart,HART_S7_P1234_R3,2023,204.5,222.5193,1138.8,711.7807
42,hart,HART_S7_P2341_R2,2023,204.5,209.9862,713.482,298.9958
43,hart,HART_S6_P2341_R1,2023,213.0,236.50179999999997,311.0,-138.50179999999997
44,hart,HART_S10.2_P2312_R3,2023,202.0,218.75835,950.73,529.97165
45,hart,HART_S4.1_P2341_R3,2023,202.0,225.25835,1084.38,657.12165
46,hart,HART_S6_P4123_R1,2023,202.0,235.75835,1334.444,896.6856499999999
47,hart,HART_S8_P1234_R1,2023,204.5,222.5193,828.1,401.08070000000004
48,hart,HART_S1.1_P2312_R1,2023,202.0,246.75835,1097.91,649.15165
49,hart,HART_S4.2_P4123_R3,2023,202.0,235.75834999999998,1191.106,753.34765
50,hart,HART_S10.3_P1231_R1,2023,204.5,227.7693,922.236,489.9667
51,hart,HART_S1.2_P3123_R3,2023,202.0,235.75835,1191.106,753.3476499999999
52,hart,HART_S5_P0000_R1,2023,204.5,222.5193,1192.75,765.7307000000001
53,hart,HART_S9_P4123_R1,2023,202.0,235.75835,1102.6,664.8416499999998
54,hart,HART_S4.2_P2341_R2,2023,202.0,246.75835,781.77,333.01165
55,hart,HART_S1.3_P2312_R1,2023,202.0,259.75835,1148.4,686.64165
56,hart,HART_S10.2_P1231_R3,2023,204.5,227.7693,836.6500000000001,404.3807000000001
57,hart,HART_S10.1_P2312_R3,2023,193.5,190.25835,869.88,486.12165
58,hart,HART_S10.3_P1231_R3,2023,204.5,227.7693,938.976,506.7067
59,hart,HART_S2.3_P0000_R1,2023,202.0,285.75834999999995,1461.24,973.4816500000001
60,hart,HART_S3_P1234_R3,2023,204.5,222.5193,1124.5,697.4807000000001
61,hart,HART_S9_P4123_R2,2023,202.0,235.75835,1130.0159999999998,692.2576499999998
62,hart,HART_S2.2_P0000_R2,2023,202.0,264.25834999999995,950.73,484.47165000000007
63,hart,HART_S4.1_P2341_R2,2023,202.0,225.25835,886.71,459.45165000000003
64,hart,HART_S6_P4123_R2,2023,202.0,235.75834999999998,1082.932,645.1736500000001
65,hart,HART_S3_P4123_R3,2023,202.0,235.75835,1180.378,742.6196499999999
66,hart,HART_S10.3_P2312_R1,2023,202.0,246.75835,923.67,474.91164999999995
67,hart,HART_S3_P4123_R2,2023,202.0,235.75834999999998,985.188,547.42965
68,hart,HART_S4.3_P3412_R2,2023,213.0,249.5018,416.74,-45.761799999999994
69,hart,HART_S3_P2341_R2,2023,202.0,246.75835,891.6600000000001,442.9016500000001
70,hart,HART_S2.3_P0000_R3,2023,202.0,285.75834999999995,1222.98,735.2216500000001
71,hart,HART_S2.1_P0000_R3,2023,202.0,238.25835,1432.2,991.94165
72,hart,HART_S7_P1234_R2,2023,204.5,222.5193,937.95,510.93070000000006
73,hart,HART_S1.3_P2312_R2,2023,202.0,259.75835,912.12,450.36165
74,hart,HART_S3_P1234_R1,2023,204.5,222.5193,984.75,557.7307000000001
75,hart,HART_S5_P0000_R8,2023,204.5,222.5193,817.7,390.68070000000006
76,hart,HART_S1.2_P3123_R1,2023,202.0,235.75835,1329.974,892.2156499999999
77,hart,HART_S4.1_P4123_R1,2023,202.0,209.25835,1064.456,653.1976499999998
78,hart,HART_S4.3_P2341_R3,2023,202.0,259.75835,1106.16,644.40165
79,hart,HART_S3_P3412_R1,2023,204.5,222.5193,1044.55,617.5307
80,hart,HART_S10.2_P2312_R1,2023,202.0,218.75835,1246.41,825.65165
81,hart,HART_S1.3_P1231_R3,2023,204.5,222.5193,810.5500000000001,383.5307000000001
82,hart,HART_S4.3_P2341_R2,2023,202.0,259.75835,859.6500000000001,397.8916500000001
83,hart,HART_S1.3_P3123_R3,2023,202.0,258.75834999999995,1244.448,783.6896500000001
84,hart,HART_S3_P2341_R1,2023,202.0,246.75835,1028.61,579.8516499999998
85,hart,HART_S4.1_P3412_R3,2023,213.0,215.0018,436.022,8.020199999999988
86,hart,HART_S6_P2341_R2,2023,213.0,236.5018,394.348,-55.15379999999999
87,hart,HART_S6_P1234_R2,2023,204.5,222.5193,877.5,450.4807
88,hart,HART_S4.1_P3412_R2,2023,213.0,215.0018,334.014,-93.9878
89,hart,HART_S10.3_P3123_R3,2023,202.0,235.75835,974.46,536.70165
90,hart,HART_S1.3_P1231_R2,2023,204.5,222.5193,827.45,400.43070000000006
91,hart,HART_S8_P3412_R1,2023,202.0,235.75835,1057.006,619.24765
92,hart,HART_S10.3_P3123_R2,2023,202.0,235.75835,971.48,533.72165
93,hart,HART_S10.2_P2312_R2,2023,202.0,218.75834999999998,940.83,520.0716500000001
94,hart,HART_S10.1_P1231_R3,2023,204.5,227.7693,949.408,517.1387
95,hart,HART_S9_P4123_R3,2023,202.0,235.75835,1281.102,843.34365
96,hart,HART_S10.2_P3123_R3,2023,202.0,213.25835,1258.156,842.8976499999999
97,hart,HART_S1.3_P3123_R1,2023,202.0,258.75835,1085.912,625.15365
98,hart,HART_S1.3_P2312_R3,2023,202.0,259.75835,1026.96,565.20165
99,hart,HART_S1.1_P3123_R1,2023,202.0,235.75835,1053.728,615.96965
100,hart,HART_S6_P3412_R1,2023,202.0,246.75835,1185.69,736.93165
101,hart,HART_S8_P2341_R2,2023,202.0,246.75835,851.07,402.31165000000004
102,hart,HART_S7_P3412_R3,2023,202.0,246.75835,1080.75,631.9916499999999
103,hart,HART_S7_P4123_R2,2023,202.0,235.75835,963.732,525.9736499999999
104,hart,HART_S7_P3412_R2,2023,202.0,246.75835,930.6,481.84165
105,hart,HART_S5_P0000_R5,2023,204.5,222.5193,1068.6,641.5807
106,hart,HART_S7_P4123_R3,2023,202.0,235.75835,1130.0159999999998,692.2576499999998
107,hart,HART_S8_P1234_R3,2023,204.5,222.5193,914.55,487.53069999999997
108,hart,HART_S4.1_P4123_R3,2023,202.0,209.25835,1031.08,619.8216499999999
109,hart,HART_S2.2_P0000_R1,2023,202.0,264.25835,1190.64,724.38165
110,hart,HART_S4.2_P3412_R2,2023,213.0,236.5018,356.406,-93.0958
111,hart,HART_S1.2_P1231_R2,2023,204.5,222.5193,1045.2,618.1807000000001
112,hart,HART_S4.2_P2341_R1,2023,202.0,246.75835,830.94,382.18165000000005
113,hart,HART_S4.3_P3412_R3,2023,213.0,249.5018,350.186,-112.31580000000002
114,hart,HART_S8_P4123_R1,2023,202.0,246.75835,1116.39,667.63165
115,hart,HART_S10.1_P2312_R2,2023,193.5,190.25835,927.3,543.5416499999999
116,hart,HART_S6_P4123_R3,2023,202.0,235.75835,1207.794,770.03565
117,hart,HART_S9_P3412_R3,2023,202.0,246.75834999999998,1008.15,559.39165
118,hart,HART_S10.3_P2312_R2,2023,202.0,246.75834999999998,989.67,540.91165
119,hart,HART_S3_P4123_R1,2023,202.0,235.75834999999998,1027.802,590.04365
120,hart,HART_S10.2_P3123_R1,2023,202.0,213.25835,1319.246,903.98765
121,hart,HART_S4.1_P1234_R2,2023,204.5,222.5193,821.6,394.58070000000004
122,hart,HART_S1.1_P1231_R2,2023,204.5,222.5193,857.35,430.33070000000004
123,hart,HART_S6_P1234_R1,2023,204.5,222.5193,928.2,501.18070000000006
124,hart,HART_S9_P2341_R1,2023,213.0,236.5018,490.136,40.63420000000002
125,hart,HART_S4.3_P1234_R1,2023,204.5,222.5193,791.7,364.68070000000006
126,hart,HART_S10.3_P2312_R3,2023,202.0,246.75835,1047.09,598.3316499999999
127,hart,HART_S1.2_P2312_R2,2023,202.0,246.75834999999998,947.43,498.67165
128,hart,HART_S3_P2341_R3,2023,202.0,246.75835,1047.09,598.3316499999999
129,hart,HART_S1.2_P2312_R3,2023,202.0,246.75835,1033.56,584.8016499999999
130,hart,HART_S10.1_P3123_R1,2023,193.5,190.25835,1326.696,942.9376499999998
131,hart,HART_S4.2_P2341_R3,2023,202.0,246.75835,1148.4,699.64165
132,hart,HART_S1.2_P2312_R1,2023,202.0,246.75835,1072.5,623.7416499999999
133,hart,HART_S3_P1234_R2,2023,204.5,222.5193,851.5,424.4807
134,hart,HART_S7_P2341_R3,2023,204.5,209.9862,790.152,375.66580000000005
135,hart,HART_S1.1_P3123_R3,2023,202.0,235.75835,1073.694,635.9356499999999
136,hart,HART_S4.1_P2341_R1,2023,202.0,225.25835,903.54,476.28164999999996
137,hart,HART_S4.3_P3412_R1,2023,213.0,249.5018,359.516,-102.98579999999998
138,hart,HART_S8_P3412_R3,2023,202.0,235.75834999999998,1186.636,748.87765
139,hart,HART_S1.1_P2312_R2,2023,202.0,246.75835,984.72,535.96165
140,hart,HART_S1.2_P1231_R3,2023,204.5,222.5193,1082.25,655.2307000000001
141,hart,HART_S4.2_P1234_R2,2023,204.5,222.5193,758.5500000000001,331.5307000000001
142,hart,HART_S10.3_P1231_R2,2023,204.5,227.7693,842.056,409.78670000000005
143,hart,HART_S9_P3412_R2,2023,202.0,246.75835,807.1800000000001,358.42165000000006
144,hart,HART_S4.3_P4123_R3,2023,202.0,258.75835,1142.234,681.4756499999999
145,hart,HART_S2.1_P0000_R2,2023,202.0,238.25834999999998,1032.57,592.31165
146,hart,HART_S4.1_P1234_R3,2023,204.5,222.5193,1137.5,710.4807000000001
147,hart,HART_S9_P1234_R2,2023,204.5,235.93619999999999,0.0,-440.4362
148,hart,HART_S4.3_P4123_R2,2023,202.0,258.75835,1005.154,544.3956499999999
149,hart,HART_S8_P4123_R2,2023,202.0,246.75834999999998,898.59,449.8316500000001
150,hart,HART_S10.1_P1231_R2,2023,204.5,227.7693,1017.254,584.9847
151,hart,HART_S5_P0000_R2,2023,204.5,222.5193,1092.0,664.9807000000001
152,hart,HART_S4.3_P4123_R1,2023,202.0,258.75835,1296.3,835.5416499999999
153,hart,HART_S4.2_P1234_R3,2023,204.5,222.5193,1250.6,823.5807
154,hart,HART_S10.2_P1231_R2,2023,204.5,227.7693,828.686,396.41670000000005
155,hart,HART_S10.1_P1231_R1,2023,204.5,227.7693,793.39,361.1207
156,hart,HART_S6_P2341_R3,2023,213.0,236.5018,388.128,-61.37380000000002
157,hart,HART_S9_P1234_R3,2023,204.5,235.9362,0.0,-440.4362
158,hart,HART_S1.1_P1231_R1,2023,204.5,222.5193,1259.7,832.6807000000001
159,hart,HART_S5_P0000_R6,2023,204.5,222.5193,1340.3,913.2807
160,hart,HART_S7_P2341_R1,2023,204.5,209.9862,664.774,250.2878
161,hart,HART_S4.2_P4123_R1,2023,202.0,235.75835,1000.386,562.6276499999999
162,hart,HART_S9_P2341_R2,2023,213.0,236.5018,289.852,-159.64980000000003
163,hart,HART_S8_P3412_R2,2023,202.0,235.75835,1116.308,678.5496499999999
164,hart,HART_S10.2_P3123_R2,2023,202.0,213.25835,997.406,582.1476499999999
165,hart,HART_S6_P3412_R3,2023,202.0,246.75835,852.72,403.96165
166,hart,HART_S1.1_P3123_R2,2023,202.0,235.75834999999998,1091.8719999999998,654.1136499999999
167,hart,HART_S4.3_P1234_R2,2023,204.5,222.5193,1151.15,724.1307000000002
168,roseworthy,ROSEWORTHY_S6_P0000_R3,2023,290.0,676.1894,1152.69,186.50060000000008
169,roseworthy,ROSEWORTHY_S4_P1231_R2,2023,292.5,663.2794,1151.472,195.69259999999997
170,roseworthy,ROSEWORTHY_S4_P1231_R3,2023,281.5,663.2794,1240.061,295.2815999999999
171,roseworthy,ROSEWORTHY_S4_P3123_R2,2023,270.5,642.6094,1436.9699999999998,523.8605999999997
172,roseworthy,ROSEWORTHY_S4_P2312_R2,2023,270.5,900.4513999999999,1381.5700000000002,210.61860000000024
173,roseworthy,ROSEWORTHY_S1.2_P2312_R3,2023,257.0,676.1894,1238.8200000000002,305.6306000000002
174,roseworthy,ROSEWORTHY_S2_P1212_R3,2023,292.5,870.8794,1021.8,-141.57940000000008
175,roseworthy,ROSEWORTHY_S3_P1212_R1,2023,270.5,660.9044,0.0,-931.4044
176,roseworthy,ROSEWORTHY_S4_P2312_R1,2023,270.5,900.4513999999999,1398.38,227.4286000000002
177,roseworthy,ROSEWORTHY_S4_P3123_R3,2023,259.5,642.6094,1381.474,479.3645999999999
178,roseworthy,ROSEWORTHY_S1.1_P1231_R3,2023,281.5,870.8794,1169.35,16.970599999999877
179,roseworthy,ROSEWORTHY_S1.2_P1231_R1,2023,281.5,870.8794,1053.65,-98.72939999999994
180,roseworthy,ROSEWORTHY_S5_P0000_R2,2023,296.0,779.1294,1300.602,225.47260000000006
181,roseworthy,ROSEWORTHY_S1.1_P3123_R1,2023,257.0,676.1894,1567.48,634.2906
